LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
2004733-DCA,Inactive,MAMA BAR LLC,MAMA'S BAR,34,AVENUE B,NEW YORK,NY,10009,Unenclosed,201,10,20,41042200,40.722603747093196,-73.98320987952283,103,2,http://www.nyc.gov/manhattancb3,12826-2018-RSWC,Unenclosed,201,10,20,Application Review Completed,09/13/2018,09/15/2020,09/13/2020,09/13/2018,Ready For Review,09/13/2018,Approved,,Pending Review,09/13/2018,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Issued,09/13/2018
2075843-DCA,Inactive,ALADDIN AND PRINCESS ZALABIA INC,MADAME SOUSOU,3105,33RD ST,ASTORIA,NY,11106,Unenclosed,306,10,30,50012082,40.76332168127365,-73.92205905492374,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,7437-2018-ASWC,Unenclosed,306,10,30,Application Review Completed,10/04/2018,09/15/2020,,04/13/2018,Ready For Review,04/13/2018,Approved,04/13/2018,Pending Review,04/13/2018,Review Period Expired,06/03/2018,Recommendation Issued,07/18/2018,SWC Public Hearing,05/30/2018,Review Period Expired,08/08/2018,Pending Review,08/08/2018,Issued,10/04/2018
2035062-DCA,Inactive,289 BLEECKER RESTAURANT LLC,PAGANI,289,BLEECKER ST,NEW YORK,NY,10014,Unenclosed,115,3,6,50002474,40.732159418409,-74.00338809280368,102,3,http://www.nyc.gov/manhattancb2,33881-2018-RSWC,Unenclosed,115,3,6,Application Review Completed,05/01/2019,12/15/2020,,01/04/2019,Ready For Review,01/04/2019,Approved,01/04/2019,,,Review Period Expired,02/21/2019,Waived,02/21/2019,,,Review Period Expired,03/14/2019,Approved,05/01/2019,Issued,05/01/2019
2038094-DCA,Inactive,BROOKLYN BROWNSTONE KITCHEN LLC,MAISON MAY VANDERBILT,270,VANDERBILT AVE,BROOKLYN,NY,11205,Unenclosed,90,6,12,50047632,40.689098214699044,-73.96904006508011,302,35,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,31238-2018-RSWC,Unenclosed,90,6,12,Application Review Completed,04/05/2019,12/15/2020,03/31/2019,12/10/2018,Ready For Review,12/10/2018,Approved,12/10/2018,,,Review Period Expired,01/31/2019,Waived,01/31/2019,,,Review Period Expired,02/21/2019,,,Issued,04/05/2019
1462753-DCA,Inactive,BROCCOLINO CORP.,BROCCOLINO,446,DEAN ST,BROOKLYN,NY,11217,Unenclosed,53,4,8,41719935,40.681925116209136,-73.97634808699262,306,39,http://www.brooklyncb6.org/,26600-2019-RSWC,Unenclosed,53,4,8,Pending Review,05/28/2020,08/28/2020,08/28/2020,09/13/2019,Ready For Review,09/13/2019,Issued Temp Op Letter,09/13/2019,Pending Review,09/13/2019,Review Period Expired,11/07/2019,Waived,11/07/2019,,,Review Period Expired,11/28/2019,Pending Review,,Pending Review,
1174880-DCA,Inactive,"THAFATH, INC.",,356,E 51ST ST,NEW YORK,NY,10022,Unenclosed,166,8,17,40730585,40.754524287867454,-73.96641810456276,106,4,http://cbsix.org,30613-2018-RSWC,Unenclosed,166,8,17,Application Review Completed,05/17/2019,12/15/2020,,12/05/2018,Ready For Review,12/05/2018,Approved,12/06/2018,,,Recommend Approval,01/14/2019,Waived,01/16/2019,,,Review Period Expired,02/14/2019,Approved,05/17/2019,Issued,05/17/2019
2071248-DCA,Inactive,NATURAL CROP INC.,GRASS ROOTS JUICERY,336A,GRAHAM AVE,BROOKLYN,NY,11211,Unenclosed,127,8,32,50001597,40.714236389052196,-73.9441782310163,301,34,http://www.nyc.gov/brooklyncb1,5443-2018-ASWC,Unenclosed,127,8,32,Application Review Completed,11/16/2018,12/15/2020,,03/20/2018,Ready For Review,03/26/2018,Approved,03/26/2018,,,Review Period Expired,05/16/2018,Recommendation Issued,05/16/2018,SWC Public Hearing,05/16/2018,Review Period Expired,06/06/2018,Approved,11/16/2018,Issued,11/16/2018
2086169-DCA,Active,CENTER BLVD RESTAURANT LLC,,201,50TH AVE,LONG ISLAND CITY,NY,11101,Unenclosed,646,12,48,,40.74384186905535,-73.95843715808738,402,26,http://www.cb2queens.org/,3005-2019-ASWC,Unenclosed,646,12,48,Application Review Completed,07/16/2019,09/15/2021,,03/21/2019,Ready For Review,03/21/2019,Approved,03/22/2019,,,Recommend Approval,05/15/2019,Recommendation Issued,05/15/2019,SWC Public Hearing,05/08/2019,Approved,06/17/2019,Approved,07/16/2019,Issued,07/16/2019
1381393-DCA,Inactive,ALA TURK INC,,1417,2ND AVE,NEW YORK,NY,10021,Enclosed,481,12,39,41204031,40.77012799982244,-73.9576301082986,108,4,http://www.cb8m.com/,136-2013-RSWC,Enclosed,481,12,39,Pending Review,02/14/2020,04/26/2020,04/26/2020,08/12/2016,,,Issued Temp Op Letter,,Proceed,04/19/2016,Review Period Expired,04/19/2016,Waived,04/19/2016,,,Review Period Expired,04/19/2016,Approved,04/19/2016,,
2024384-DCA,Active,2122 BEEKMAN BAR LLC,ERV'S ON BEEKMAN,2122,BEEKMAN PL,BROOKLYN,NY,11225,Unenclosed,228,20,40,50013910,40.65989955140093,-73.9608682867682,309,40,http://www.communitybrd9bklyn.org/,31972-2019-RSWC,Unenclosed,228,20,40,Application Review Completed,11/12/2019,12/15/2021,,11/12/2019,Ready For Review,11/12/2019,Approved,,Proceed,11/12/2019,Review Period Expired,11/12/2019,Waived,11/12/2019,,,Review Period Expired,11/12/2019,Approved,11/12/2019,Issued,11/12/2019
1470771-DCA,Inactive,834 7TH AVENUE LLC,THE STAGECOACH,834,7TH AVE,NEW YORK,NY,10019,Enclosed,500,13,54,50001105,40.76347560693438,-73.98177366995202,105,4,http://www.cb5.org,1470771-ASWC,Enclosed,500,13,54,Pending Review,02/03/2014,05/15/2018,05/15/2014,08/06/2013,,,Issued Temp Op Letter,,,11/08/2013,,,,,,,,,,,,
1159625-DCA,Active,"ELI'S MANHATTAN WAREHOUSE, INC.",,1411,3RD AVE,NEW YORK,NY,10028,Unenclosed,87,5,20,40680918,40.77496654682121,-73.95648249728737,108,5,http://www.cb8m.com/,3747-2020-RSWC,Unenclosed,87,5,20,Application Review Completed,02/27/2020,04/15/2022,,02/24/2020,Ready For Review,02/24/2020,Approved,,Proceed,02/27/2020,Review Period Expired,02/27/2020,Waived,02/27/2020,,,Approved,02/27/2020,Approved,02/27/2020,Issued,02/27/2020
2019413-DCA,Inactive,SIBECA CORPORATION,POLLOS MARIO,4019,BROADWAY,ASTORIA,NY,11103,Enclosed,366,10,30,40596549,40.75886151664885,-73.91816586218823,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,21224-2019-RSWC,Enclosed,366,10,30,Pending Review,10/31/2019,03/29/2020,03/29/2020,05/31/2019,Ready For Review,05/31/2019,Issued Temp Op Letter,05/31/2019,Pending Review,05/31/2019,Pending Review,05/31/2019,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
2039486-DCA,Inactive,GRAND SABROSURA INC,SABROSURA,1200,CASTLE HILL AVE,BRONX,NY,10462,Enclosed,603,18,60,50051365,40.8320866906681,-73.85089869913803,209,18,http://www.nyc.gov/html/bxcb9/html/home/home.shtml,20735-2019-RSWC,Enclosed,603,18,60,Pending Review,02/18/2020,06/30/2020,06/30/2020,05/24/2019,Ready For Review,05/24/2019,Issued Temp Op Letter,05/28/2019,Pending Review,05/28/2019,Pending Review,05/28/2019,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
2090482-DCA,Active,WHITE HORSE HOSPITALITY LLC,,567,HUDSON ST,NEW YORK,NY,10014,Unenclosed,728,24,72,50095038,40.73567808186896,-74.00608734227491,102,3,http://www.nyc.gov/manhattancb2,10785-2019-ASWC,Unenclosed,728,24,72,Application Review Completed,12/17/2019,01/18/2020,01/18/2020,09/11/2019,Ready For Review,09/11/2019,Process Completed,09/12/2019,,,,,,,,,,,,,,
1420945-DCA,Active,F-C LLC,CALYER,90,CALYER ST,BROOKLYN,NY,11222,Unenclosed,192,8,16,41610168,40.726887188548716,-73.95751328446329,301,33,http://www.nyc.gov/brooklyncb1,3751-2020-RSWC,Unenclosed,192,8,16,Application Review Completed,02/27/2020,04/15/2022,,02/24/2020,Ready For Review,02/24/2020,Approved,,Proceed,02/27/2020,Review Period Expired,02/27/2020,Waived,02/27/2020,,,Approved,02/27/2020,Approved,02/27/2020,Issued,02/27/2020
1254785-DCA,Active,"BOWERY F & B, LLC",GEMMA,335,BOWERY,NEW YORK,NY,10003,Unenclosed,376,18,48,41258669,40.726021894645505,-73.9916910978502,103,2,http://www.nyc.gov/manhattancb3,15746-2019-RSWC,Unenclosed,376,18,48,Application Review Completed,07/16/2019,04/15/2021,,03/27/2019,Ready For Review,03/27/2019,Approved,03/28/2019,,,Review Period Expired,05/16/2019,Waived,05/16/2019,,,Review Period Expired,06/06/2019,Approved,07/16/2019,Issued,07/16/2019
2037219-DCA,Inactive,JETHOU LLC,PIZZA BEACH,167,ORCHARD ST,NEW YORK,NY,10002,Small Unenclosed,264,9,18,50038923,40.72133908398603,-73.98870819087196,103,1,http://www.nyc.gov/manhattancb3,12353-2018-RSWC,Small Unenclosed,264,9,18,Application Review Completed,03/19/2019,09/15/2020,,09/05/2018,Ready For Review,09/12/2018,Approved,09/12/2018,,,Review Period Expired,11/01/2018,Waived,11/01/2018,,,Review Period Expired,11/22/2018,Approved,03/19/2019,Issued,03/19/2019
1462267-DCA,Active,SPEAK INTEGRATED CORP.,BOCCA DI BACCO,167,9TH AVE,NEW YORK,NY,10011,Unenclosed,232,10,21,41666383,40.744623350850695,-74.00292318273787,104,3,http://www.nyc.gov/mcb4,19070-2019-RSWC,Unenclosed,232,10,21,Application Review Completed,09/18/2019,04/15/2021,,05/01/2019,Ready For Review,05/01/2019,Approved,05/02/2019,,,Review Period Expired,06/19/2019,Waived,06/19/2019,,,Review Period Expired,07/10/2019,Approved,09/18/2019,Issued,09/18/2019
1219506-DCA,Inactive,"PLAZA PATISSERIE, INC.",,2920,30TH AVE,ASTORIA,NY,11102,Unenclosed,476,14,37,40726984,40.76737626996367,-73.92295683535929,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,11592-2018-RSWC,Unenclosed,476,14,37,Application Review Completed,02/04/2019,09/15/2020,,08/22/2018,Ready For Review,08/22/2018,Approved,08/22/2018,,,Review Period Expired,10/18/2018,Waived,10/18/2018,,,Review Period Expired,11/08/2018,Approved,02/04/2019,Issued,02/04/2019
1348205-DCA,Active,THIRD AVE CAFE LLC,,431,3RD AVE,NEW YORK,NY,10016,Unenclosed,540,19,38,41477872,40.7432629477573,-73.97970053420318,106,2,http://cbsix.org,20425-2019-RSWC,Unenclosed,540,19,38,Application Review Completed,11/15/2019,04/15/2021,,06/11/2019,Ready For Review,05/29/2019,Approved,06/12/2019,,,Recommend Approval,06/24/2019,Waived,08/15/2019,,,Review Period Expired,09/05/2019,Approved,11/15/2019,Issued,11/15/2019
1320701-DCA,Active,352 RESTAURANT CORP.,MUSTANG HARRY'S,352,7TH AVE,NEW YORK,NY,10001,Unenclosed,200,6,12,40539007,40.748350534150724,-73.99283238799454,105,3,http://www.cb5.org,14073-2019-RSWC,Unenclosed,200,6,12,Application Review Completed,07/01/2019,04/15/2021,,03/14/2019,Ready For Review,03/14/2019,Approved,03/15/2019,,,Review Period Expired,04/30/2019,Waived,04/30/2019,,,Review Period Expired,05/21/2019,Approved,07/01/2019,Issued,07/01/2019
1345744-DCA,Inactive,"WORKHORSE RESTAURANT, INC.",REGIONAL,2607,BROADWAY,NEW YORK,NY,10025,Unenclosed,157,9,18,41096822,40.796311384648334,-73.97087549550777,107,6,http://www.nyc.gov/mcb7,5534-2019-RSWC,Unenclosed,157,9,18,Application Review Completed,06/25/2019,12/15/2020,,02/01/2019,Ready For Review,02/01/2019,Approved,02/08/2019,,,Review Period Expired,03/27/2019,Waived,03/27/2019,,,Review Period Expired,04/17/2019,Approved,06/25/2019,Issued,06/25/2019
2086168-DCA,Active,BETTOLA NYC CORP.,BETTOLA,412,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,156,13,26,,40.783731143369806,-73.9781426939658,107,6,http://www.nyc.gov/mcb7,1307-2019-ASWC,Unenclosed,156,13,26,Application Review Completed,07/11/2019,12/15/2021,,02/08/2019,Ready For Review,02/11/2019,Approved,02/11/2019,,,Recommend Approval,04/17/2019,Recommendation Issued,04/17/2019,SWC Public Hearing,04/03/2019,Review Period Expired,06/11/2019,Approved,07/11/2019,Issued,07/11/2019
2042124-DCA,Inactive,"ST. GEORGE HOLDING, CORP",EL BASURERO BAR RESTAURANT,3217,STEINWAY ST,ASTORIA,NY,11103,Unenclosed,238,5,20,40993070,40.75840664333527,-73.91923486734564,401,26,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,33932-2018-RSWC,Unenclosed,238,5,20,Application Review Completed,04/03/2019,12/15/2020,,12/28/2018,Ready For Review,12/28/2018,Approved,12/28/2018,,,Recommend Approval,01/31/2019,Waived,01/31/2019,,,Review Period Expired,02/21/2019,Approved,04/03/2019,Issued,04/03/2019
2038088-DCA,Inactive,1325 CCPJ CORP,MAXWELL'S,1325,5TH AVE,NEW YORK,NY,10029,Unenclosed,252,12,26,50045829,40.79770616396137,-73.94860847303094,111,9,http://www.cb11m.org/,7576-2019-RSWC,Unenclosed,252,12,26,Application Review Completed,10/01/2019,12/15/2020,,02/11/2019,Ready For Review,02/11/2019,Approved,02/12/2019,,,Recommend Approval,03/22/2019,Waived,03/27/2019,,,Review Period Expired,04/17/2019,Approved,10/01/2019,Issued,10/01/2019
1312044-DCA,Inactive,OSTERIA CASANO LLC,,28,WEST ST,NEW YORK,NY,10004,Unenclosed,320,16,31,41380930,40.707134441844325,-74.01559596758217,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,3174-2020-RSWC,Unenclosed,320,16,31,Pending Review,02/25/2020,03/25/2020,03/25/2020,02/12/2020,Ready For Review,02/12/2020,Issued Temp Op Letter,02/25/2020,Pending Review,02/25/2020,Pending Review,02/25/2020,Pending Review,,SWC Public Hearing,04/15/2020,Pending Review,,Pending Review,,Pending Review,
2017695-DCA,Active,HEDGIE LLC,,22,PECK SLIP,NEW YORK,NY,10038,Unenclosed,189,11,23,,40.70804125414012,-74.00193329146607,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,17425-2019-RSWC,Unenclosed,189,11,23,Application Review Completed,04/12/2019,04/15/2021,,04/10/2019,Ready For Review,04/10/2019,Approved,,Proceed,04/12/2019,Recommend Approval,04/12/2019,Recommendation Issued,04/12/2019,,,,,Approved,04/12/2019,Issued,04/12/2019
1347356-DCA,Inactive,O'FLYNN ENTERPRISES LLC,LE GRAINNE CAFE,183,9TH AVE,NEW YORK,NY,10011,Unenclosed,122,3,12,41095546,40.74543581096558,-74.00229526776988,104,3,http://www.nyc.gov/mcb4,14561-2018-RSWC,Unenclosed,122,3,12,Application Review Completed,03/28/2019,09/15/2020,,09/21/2018,Ready For Review,09/21/2018,Approved,09/21/2018,,,Review Period Expired,11/14/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,03/28/2019,Issued,03/28/2019
1101272-DCA,Inactive,659 REST. INC.,MERCURY BAR,659,9TH AVE,NEW YORK,NY,10036,Unenclosed,126,4,8,40677553,40.760885663902904,-73.99105143295189,104,3,http://www.nyc.gov/mcb4,34101-2019-RSWC,Unenclosed,126,4,8,Pending Review,05/28/2020,07/20/2020,07/20/2020,12/02/2019,Ready For Review,12/02/2019,Issued Temp Op Letter,12/03/2019,Pending Review,12/03/2019,Review Period Expired,01/24/2020,Waived,01/24/2020,,,Review Period Expired,02/14/2020,Pending Review,,Pending Review,
2075393-DCA,Inactive,PRYM 1216 STREET LEVEL LLC,WOODPECKER BY DAVID BURKE,1216,BROADWAY,NEW YORK,NY,10001,Unenclosed,133,4,8,50077543,40.746459031033076,-73.98829972889874,105,4,http://www.cb5.org,9774-2018-ASWC,Unenclosed,133,4,8,Application Review Completed,10/02/2018,09/15/2020,,05/08/2018,Ready For Review,05/09/2018,Approved,05/09/2018,Pending Review,05/09/2018,Recommend Approval,07/11/2018,Recommendation Issued,07/11/2018,SWC Public Hearing,06/27/2018,Review Period Expired,08/01/2018,Pending Review,08/01/2018,Issued,10/02/2018
1240086-DCA,Inactive,PAESANO REST. CORP.,,136,MULBERRY ST,NEW YORK,NY,10013,Unenclosed,97,3,6,41213163,40.718493297023066,-73.99757939923647,102,1,http://www.nyc.gov/manhattancb2,13090-2018-RSWC,Unenclosed,97,3,6,Application Review Completed,06/20/2019,09/15/2020,,09/14/2018,Ready For Review,09/14/2018,Approved,09/17/2018,,,Recommend Approval,11/01/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,06/20/2019,Issued,06/20/2019
